t_ms,raw,filtered
0,-39275,-39275.000
9,-38934,-39223.852
21,-39186,-39218.172
33,-38906,-39171.344
45,-39002,-39145.945
57,-38805,-39094.805
69,-39088,-39093.785
81,-39193,-39108.668
93,-38942,-39083.668
105,-38778,-39037.816
117,-38673,-38983.094
129,-38870,-38966.129
141,-38994,-38970.312
153,-38666,-38924.664
165,-38688,-38889.164
177,-38980,-38902.789
189,-39144,-38938.973
201,-38946,-38940.027
214,-38594,-38888.125
226,-38750,-38867.406
238,-38726,-38846.195
250,-38728,-38828.465
262,-39007,-38855.246
274,-38906,-38862.859
286,-38861,-38862.578
298,-38892,-38866.992
310,-38751,-38849.594
322,-38974,-38868.258
334,-39482,-38960.320
346,-39332,-39016.074
358,-38959,-39007.516
370,-38821,-38979.539
382,-38848,-38959.809
394,-38819,-38938.691
406,-38582,-38885.188
418,-38879,-38884.262
430,-38824,-38875.227
442,-38871,-38874.594
454,-38482,-38815.707
466,-38315,-38740.602
478,-38327,-38678.562
490,-38868,-38706.977
502,-38602,-38691.230
514,-38732,-38697.348
526,-38896,-38727.145
538,-38909,-38754.426
550,-38993,-38790.211
562,-38966,-38816.578
574,-38921,-38832.242
586,-38750,-38819.906
598,-38573,-38782.871
610,-38950,-38807.941
622,-38696,-38791.148
634,-38626,-38766.375
646,-38574,-38737.520
658,-38922,-38765.191
670,-38991,-38799.062
682,-39232,-38864.004
694,-39287,-38927.453
706,-38888,-38921.535
718,-38769,-38898.656
731,-39000,-38913.859
743,-39342,-38978.082
755,-38734,-38941.473
767,-38550,-38882.754
779,-38858,-38879.039
791,-39010,-38898.684
803,-38764,-38878.484
815,-39076,-38908.109
827,-39674,-39022.996
839,-39474,-39090.648
851,-39299,-39121.902
863,-38682,-39055.918
875,-38607,-38988.582
887,-39053,-38998.246
899,-38985,-38996.262
911,-38604,-38937.426
923,-39071,-38957.461
935,-39051,-38971.492
947,-38942,-38967.070
959,-38950,-38964.512
971,-38889,-38953.188
983,-38542,-38891.512
995,-38863,-38887.234
1007,-39354,-38957.250
1019,-39214,-38995.766
1031,-38813,-38968.352
1043,-38692,-38926.902
1055,-38627,-38881.918
1067,-38639,-38845.484
1079,-38798,-38838.363
1091,-38532,-38792.410
1103,-38951,-38816.199
1115,-39017,-38846.320
1127,-39081,-38881.523
1139,-39035,-38904.547
1151,-39055,-38927.117
1163,-38877,-38919.602
1175,-39469,-39002.016
1187,-39445,-39068.465
1199,-38921,-39046.344
1211,-38791,-39008.043
1223,-39038,-39012.535
1236,-39406,-39071.555
1248,-39236,-39096.223
1260,-38547,-39013.840
1272,-38838,-38987.465
1284,-39346,-39041.246
1296,-39002,-39035.359
1308,-38778,-38996.754
1320,-39280,-39039.242
1332,-39229,-39067.707
1344,-38818,-39030.250
1356,-39266,-39065.613
1368,-38980,-39052.773
1380,-38668,-38995.059
1392,-38535,-38926.051
1404,-39278,-38978.844
1416,-39274,-39023.121
1428,-39189,-39048.004
1440,-38583,-38978.254
1452,-38910,-38968.016
1464,-39093,-38986.762
1476,-39191,-39017.398
1488,-39223,-39048.238
1500,-39014,-39043.105
1512,-38530,-38966.141
1524,-38661,-38920.367
1536,-39017,-38934.863
1548,-39054,-38952.734
1560,-38941,-38950.973
1572,-38904,-38943.930
1584,-38958,-38946.039
1596,-38718,-38911.832
1608,-38770,-38890.559
1620,-38679,-38858.828
1632,-39010,-38881.504
1644,-38686,-38852.176
1656,-38706,-38830.250
1668,-38877,-38837.266
1680,-38922,-38849.977
1692,-38967,-38867.531
1704,-38552,-38820.203
1716,-38516,-38774.570
1728,-38367,-38713.438
1740,-38718,-38714.121
1753,-38991,-38755.652
1765,-39235,-38827.555
1777,-38910,-38839.922
1789,-39269,-38904.285
1801,-39310,-38965.145
1813,-39231,-39005.023
1825,-39163,-39028.719
1837,-39186,-39052.309
1849,-39181,-39071.613
1861,-39297,-39105.422
1873,-39351,-39142.258
1885,-38854,-39099.023
1897,-38911,-39070.820
1909,-39192,-39089.000
1921,-39142,-39096.953
1933,-39114,-39099.512
1945,-38867,-39064.637
1957,-38904,-39040.543
1969,-38801,-39004.609
1981,-38899,-38988.770
1993,-38570,-38925.953
2005,-38954,-38930.164
2017,-38703,-38896.090
2029,-38234,-38796.777
2041,-38682,-38779.562
2053,-38815,-38784.879
2065,-38439,-38733.000
2077,-38389,-38681.402
2089,-38108,-38595.391
2101,-38764,-38620.684
2113,-38681,-38629.730
2125,-38471,-38605.922
2137,-38780,-38632.035
2149,-39156,-38710.629
2161,-39376,-38810.434
2173,-38616,-38781.270
2185,-38279,-38705.930
2197,-38765,-38714.793
2209,-39131,-38777.223
2221,-39201,-38840.789
2233,-39241,-38900.820
2245,-38877,-38897.250
2258,-39007,-38913.715
2270,-39004,-38927.262
2282,-39072,-38948.973
2294,-39067,-38966.680
2306,-39073,-38982.629
2318,-38610,-38926.734
2330,-38467,-38857.777
2342,-38729,-38838.465
2354,-38848,-38839.895
2366,-38778,-38830.609
2378,-38589,-38794.371
2390,-38905,-38810.965
2402,-38944,-38830.922
2414,-39144,-38877.887
2426,-39507,-38972.254
2438,-39591,-39065.066
2450,-38954,-39048.410
2462,-38711,-38997.797
2474,-38676,-38949.527
2486,-38709,-38913.449
2498,-38980,-38923.434
2510,-38808,-38906.117
2522,-39152,-38943.000
2534,-38805,-38922.301
2546,-38529,-38863.309
2558,-38512,-38810.613
2570,-38919,-38826.875
2582,-38912,-38839.645
2594,-39092,-38877.500
2606,-39207,-38926.926
2618,-39120,-38955.887
2630,-38792,-38931.305
2642,-39010,-38943.109
2654,-39094,-38965.746
2666,-38805,-38941.637
2678,-39148,-38972.590
2690,-39094,-38990.805
2702,-38779,-38959.035
2714,-39134,-38985.281
2726,-38937,-38978.039
2738,-38950,-38973.836
2750,-39043,-38984.211
2762,-39213,-39018.531
2775,-39377,-39072.305
2787,-39015,-39063.711
2799,-38842,-39030.457
2811,-38811,-38997.539
2823,-38861,-38977.059
2835,-39048,-38987.699
2847,-39174,-39015.648
2859,-39001,-39013.449
2871,-38941,-39002.582
2883,-38983,-38999.645
2895,-38884,-38982.301
2907,-38944,-38976.559
2919,-39423,-39043.523
2931,-39024,-39040.598
2943,-38575,-38970.758
2955,-38787,-38943.195
2967,-38927,-38940.770
2979,-38941,-38940.805
2991,-38810,-38921.184
3003,-39024,-38936.609
3015,-38792,-38914.918
3027,-38611,-38869.328
3039,-38848,-38866.129
3051,-38881,-38868.359
3063,-38603,-38828.555
3075,-38786,-38822.172
3087,-38846,-38825.746
3099,-39023,-38855.336
3111,-39253,-38914.984
3123,-39477,-38999.289
3135,-39270,-39039.898
3147,-38730,-38993.414
3159,-38885,-38977.152
3171,-38856,-38958.980
3183,-38942,-38956.434
3195,-39319,-39010.820
3207,-39397,-39068.750
3219,-38861,-39037.586
3231,-38597,-38971.500
3243,-38394,-38884.879
3255,-38126,-38771.047
3267,-38461,-38724.539
3279,-39061,-38775.008
3292,-39018,-38811.457
3304,-38795,-38808.988
3316,-39052,-38845.441
3328,-39485,-38941.375
3340,-39297,-38994.719
3352,-39229,-39029.863
3364,-38802,-38995.684
3376,-39051,-39003.980
3388,-38755,-38966.633
3400,-38411,-38883.289
3412,-38829,-38875.148
3424,-38826,-38867.777
3436,-38801,-38857.762
3448,-39043,-38885.547
3460,-38773,-38868.664
3472,-39129,-38907.719
3484,-39023,-38925.012
3496,-38715,-38893.512
3508,-38291,-38803.133
3520,-38895,-38816.914
3532,-38656,-38792.777
3544,-39006,-38824.762
3556,-39197,-38880.598
3568,-39138,-38919.207
3580,-39086,-38944.227
3592,-39090,-38966.094
