t_s,cell1_g,cell2_g,drag_cell3_g
28.020,14.795,-1.715,0.138
29.029,14.771,-1.722,0.158
30.089,14.786,-1.604,0.185
31.114,14.710,-1.319,0.155
32.165,15.081,-1.065,0.200
33.186,16.325,-0.632,0.139
34.189,20.904,0.745,0.180
35.224,29.539,2.841,0.168
36.259,45.474,6.396,0.104
37.276,68.516,15.377,0.143
38.298,94.541,6.879,0.113
39.311,97.506,9.932,0.098
40.382,104.135,11.079,0.105
41.469,101.546,2.517,0.129
42.478,93.160,1.259,0.146
43.511,89.748,0.786,0.130
44.520,83.664,2.671,0.143
45.591,82.339,2.932,0.170
46.639,82.821,2.622,0.126
47.713,82.609,2.628,0.117
48.728,82.732,3.906,0.221
49.771,82.057,2.903,0.165
50.785,82.940,3.987,0.159
51.808,83.595,4.214,0.103
52.863,84.390,4.555,0.192
53.869,86.311,4.267,0.135
54.935,86.865,5.237,0.155
55.988,87.444,5.100,0.128
56.998,88.004,5.041,0.121
58.063,88.131,5.151,0.121
59.110,88.376,5.758,0.119
60.119,88.547,7.255,0.105
61.129,88.548,7.371,0.164
62.135,88.002,7.142,0.193
