t_s,Front Wheel (g),Back Wheel (g),drag_cell3_g
8.789,-0.914,-0.566,0.178
9.804,-0.984,-0.457,0.122
10.818,-0.989,-0.163,0.118
11.862,-0.902,0.26,0.152
12.875,-0.477,0.606,0.133
13.924,0.285,1.3,0.174
14.932,1.374,2.142,0.124
15.94,7.639,3.985,0.126
16.961,20.215,6.081,0.167
17.966,46.764,8.173,0.11
18.996,78.583,13.215,0.155
20.064,103.671,12.701,0.093
21.065,109.3,17.792,0.126
22.085,107.889,9.563,0.072
23.12,102.545,18.4,0.156
24.122,96.768,15.041,0.138
25.137,90.531,13.486,0.112
26.21,84.595,16.39,0.133
27.263,80.584,15.275,0.141
28.286,81.295,16.741,0.093
29.297,81.12,14.948,0.123
30.305,81.075,18.038,0.109
31.318,82.372,14.791,0.111
32.322,82.495,19.386,0.149
33.336,82.598,19.662,0.109
34.398,83.894,17.722,0.157
35.474,85.21,15.425,0.168
36.504,85.943,17.468,0.115
37.533,88.201,12.09,0.177
38.579,85.631,19.102,0.176
39.592,85.943,17.102,0.155
40.646,87.852,16.653,0.121
41.667,86.795,16.129,0.158
42.68,87.454,14.026,0.178
43.722,87.533,16.158,0.148
44.725,86.572,18.437,0.108
45.769,87.514,18.71,0.13
46.771,88.472,15.734,0.1
47.784,88.506,18.23,0.121
48.817,88.408,15.071,0.108
49.883,87.935,19.217,0.118
50.894,88.195,15.395,0.117
51.929,88.384,18.32,0.103
52.945,88.541,17.607,0.143
53.945,87.878,15.334,0.169
54.982,89.379,14.684,0.055
56.023,88.808,15.198,0.095
57.079,87.697,20.846,0.065
58.093,87.842,18.81,0.115
59.136,88.47,18.922,0.06
60.144,88.819,15.286,0.102
61.154,90.027,16.871,0.088
62.165,91.724,13.666,0.073
63.197,91.181,20.332,0.113
64.205,101.811,15.041,0.096
65.229,112.065,14.383,0.059
66.241,122.791,18.454,0.08
67.253,168.939,20.139,0.1
68.267,229.519,23.403,0.1
69.275,294.11,13.168,0.114
70.317,333.386,7.992,0.066
71.334,345.724,22.116,0.117
72.414,348.101,5.713,0.089
73.42,341.305,12.362,0.08
74.445,335.044,-5.474,0.099
75.486,331.937,-3.678,0.091
76.499,327.937,8.946,0.087
77.521,329.167,5.145,0.106
78.539,328.812,9.648,0.052
79.61,326.011,12.037,0.063
80.68,317.119,4.679,0.079
81.737,314.096,7.52,0.109
82.776,315.188,-4.439,0.05
83.811,312.458,11.662,0.097
84.818,316.529,6.444,0.089
85.841,313.45,9.434,0.08
86.843,306.507,20.735,0.105
87.929,315.692,6.287,0.123
88.93,313.138,5.603,0.13
89.973,317.135,-3.485,0.027
90.986,316.328,2.054,0.107
92.032,312.82,8.713,0.137
93.043,310.835,12.056,0.066
94.061,312.965,10.743,0.12
95.068,313.21,16.726,0.078
96.101,313.368,-0.117,0.083
97.113,309.86,26.083,0.093
98.17,310.851,7.836,0.057
99.174,310.245,3.082,0.093
100.219,315.401,8.234,0.157
101.227,309.609,15.574,0.076
102.237,312.386,7.788,0.117
103.267,311.233,24.334,0.102
104.27,311.494,-11.247,0.096
105.334,313.419,-3.468,0.1
106.402,313.198,0.375,0.085
107.462,309.933,14.243,0.079
108.496,323.488,-2.719,0.099
109.542,356.602,-6.312,0.128
110.555,390.519,-2.954,0.035
111.613,420.467,-17.224,0.095
112.638,514.603,-23.234,0.052
113.645,619.33,-40.041,0.108
114.673,707.142,-39.942,0.043
115.717,800.585,-96.953,0.091
116.732,822.803,-67.163,0.083
117.734,845.808,-100.586,0.071
118.784,831.153,-82.419,0.125
119.823,824.963,-71.801,0.114
120.83,804.057,-72.203,0.057
121.838,798.364,-63.281,0.062
122.874,787.818,-84.821,0.077
123.919,793.055,-67.533,0.057
124.923,789.052,-69.456,0.134
125.943,801.921,-69.255,0.102
126.945,784.42,-72.811,0.128
127.947,788.293,-65.569,0.073
128.963,791.909,-73.88,0.064
129.976,791.151,-74.498,0.101
131,804.284,-93.261,0.065
132.002,792.315,-68.601,0.106
133.01,799.521,-79.96,0.111
134.016,793.44,-64.282,0.128
135.047,796.657,-68.313,0.087
136.054,788.872,-54.231,0.088
137.067,786.568,-51.044,0.044
138.08,793.247,-56.194,0.102
139.097,795.082,-64.955,0.126
140.108,799.787,-71.182,0.103
141.12,797.124,-89.299,0.099
142.122,787.784,-69.788,0.117
143.168,788.789,-48.235,0.109
144.19,793.129,-77.914,0.123
145.26,796.462,-86.795,0.053
146.262,797.956,-50.945,0.076
147.34,793.025,-70.013,0.11
148.351,795.613,-82.641,0.078
149.36,789.93,-50.092,0.106
150.381,800.197,-95.094,0.118
151.432,797.638,-79.701,0.095
152.491,796.383,-78.559,0.093
153.551,791.726,-38.365,0.08
154.56,794.261,-78.275,0.092
155.574,795.173,-84.3,0.093
156.605,795.344,-79.262,0.021
157.611,789.672,-59.417,0.087
158.623,794.171,-78.908,0.128
159.636,795.11,-48.541,0.104
160.65,791.249,-34.751,0.097
161.718,791.995,-65.657,0.073
162.761,787.353,-63.214,0.134
163.78,799.14,-92.663,0.089
164.848,786.093,-50.781,0.096
165.85,785.576,-56.051,0.083
166.91,792.212,-103.746,0.133
167.911,797.87,-73.545,0.096
168.934,791.892,-71.111,0.107
169.974,805.1,-60.415,0.12
170.979,798.1,-69.623,0.067
172.043,803.634,-103.75,0.111
173.05,786.486,-79.141,0.088
174.077,791.262,-67.013,0.106
175.126,792.027,-62.88,0.127
176.133,800.12,-95.503,0.124
177.146,804.088,-83.512,0.11
178.149,826.513,-74.186,0.056
179.207,864.094,-83.262,0.11
180.21,915.719,-95.414,0.105
181.214,942.123,-104.079,0.094
182.241,1048.32,-87.297,0.083
183.254,1288.049,-148.49,0.091
184.256,1473.078,-241.737,0.103
185.306,1493.394,-279.455,0.03
186.345,1502.938,-212.081,0.092
187.36,1497.607,-235.243,0.104
188.428,1487.592,-226.596,0.066
189.487,1487.051,-289.5,0.148
190.578,1458.098,-234.548,0.107
191.63,1462.804,-199.701,0.095
192.642,1448.404,-265.351,0.144
193.653,1409.407,-240.804,0.019
194.713,1318.196,-166.474,0.018
195.725,1152.035,-164.363,0.03
196.729,1022.669,-152.317,0.04
197.737,925.433,-129.048,0.059
198.739,830.553,-89.822,0.038
199.791,777.11,-100.926,0.078
200.801,699.049,-67.637,0.037
201.812,621.365,-88.589,-0.01
202.838,526.967,-46.527,0.027
203.852,489.247,-48.921,0.038
204.855,481.484,-75.929,0.032
205.894,421.506,-43.718,0.069
206.894,404.033,-58.154,0.044
207.902,379.691,-41.533,0.025
208.913,350.971,-26.093,0.018
209.931,315.648,-30.749,-0.001
